ARBORESCENCE REELLE DES EQUIPEMENTS - FABLAB ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
FL-003,Imprimante 3D FDM,Equipement,Shenzhen Creality 3D Technology,1,Hors service,1,EQ7
FL-004,Imprimante 3D FDM,Equipement,,1,Hors service,1,EQ7
FL-005,Imprimante 3D FDM,Equipement,,1,Hors service,1,EQ7
FL-006,Imprimante 3D resine,Equipement,Photocentric,1,Operationnel,1,EQ6
FL-068,Imprimante 3D FFF IDEX Raise3D E2CF,Equipement,,1,A confirmer,1,EQ3
FABLAB.ESP.IMP3D.SCA,Scan 3D,Sous-categorie,,,,,
FL-047,Appareil photo / scanner 3D,Equipement,,1,Non renseigne,2,
FABLAB.ESP.IMP3D_IND,Espace Impression 3D industrielle,Sous-categorie,,,,,
FL-069,Imprimante 3D industrielle FDM/FFF (enceinte fermee),Equipement,,1,A confirmer,1,EQ5
FABLAB.ESP.EXPO,Espace Exposition,Zone / Stock,,,,,
FABLAB.ESP.EXPO.PROTO,Prototype pedagogique,Sous-categorie,,,,,
FL-066,Prototype Shell Eco-marathon 2015,Equipement,,7,Operationnel,2,
FABLAB.STK,STOCKS (consommables & outillage portatif),Type,,,,,
FABLAB.STK.ELEC,Stock Electronique,Zone / Stock,,,,,
FABLAB.STK.ELEC.CONS,Consommable electrique,Sous-categorie,,,,,
FL-061,Coffret de gaine thermoretractable,Equipement,,1,Operationnel,2,
FABLAB.STK.USI,Stock Usinage,Zone / Stock,,,,,
FABLAB.STK.USI.QUI,Quincaillerie / Visserie,Sous-categorie,,,,,
FL-062,Tirefonds,Equipement,Tete hexagonale,15,Operationnel,2,
FL-063,Vis a metaux,Equipement,Tete fraisee,10,Operationnel,2,
FL-064,Vis CHC,Equipement,Tete cylindrique,217,Operationnel,2,
FL-065,Pointe ordinaire,Equipement,,,Non renseigne,2,
FABLAB.STK.FAB,Stock Fabrication additive,Zone / Stock,,,,,
FABLAB.STK.FAB.FIL,Filaments,Sous-categorie,,,,,
FL-051,Filament ABS,Equipement,Blanc,3,Operationnel,2,
FL-052,Filament ABS,Equipement,Bleu,2,Operationnel,2,
FL-053,Filament ABS,Equipement,Orange,3,Operationnel,2,
FL-054,Filament ABS,Equipement,Noir,1,Operationnel,2,
FL-055,Filament ABS,Equipement,Rouge,4,Operationnel,2,
FL-056,Filament ABS,Equipement,Gris,1,Operationnel,2,
FABLAB.STK.OUT,Stock Outillage,Zone / Stock,,,,,
FABLAB.STK.OUT.MAN,Outillage a main,Sous-categorie,,,,,
FL-018,Scie a metaux,Equipement,,1,Operationnel,2,
FL-019,Serre-joint a vis,Equipement,,1,Operationnel,2,
FL-020,Pince a sertir modulaire,Equipement,,1,Operationnel,2,
FL-021,Cle plate,Equipement,20/22,1,Operationnel,2,
FL-022,Cle plate,Equipement,16/17,1,Operationnel,2,
FL-023,Cle plate,Equipement,18/19,1,Operationnel,2,
FL-024,Cle plate,Equipement,"17/16 (doublon probable avec FL-022 16/17 - a verifier, cf. 09_Points_Action)",1,Operationnel,2,
FL-025,Cle plate,Equipement,12/13,1,Operationnel,2,
FL-026,Cle six pans,Equipement,10 mm - CR-V,1,Operationnel,2,
FL-027,Equerre de menuisier,Equipement,,1,Operationnel,2,
FL-028,Cle a molette,Equipement,150 mm (6 pouces),1,Operationnel,2,
FL-029,Tournevis standard,Equipement,,1,Operationnel,2,
FL-030,Tournevis cruciforme,Equipement,,1,Operationnel,2,
FL-031,Paire de ciseaux,Equipement,,1,Operationnel,2,
FL-032,Pince a denuder automatique,Equipement,,1,Operationnel,2,
FL-033,Pince coupante et pince a rasant,Equipement,,1,Operationnel,2,
FL-034,Pinceau plastique,Equipement,,1,Operationnel,2,
FL-035,Pompe a dessouder,Equipement,,1,Operationnel,2,
FABLAB.STK.OUT.COU,Outils de coupe et de meulage,Sous-categorie,,,,,
FL-036,Meuleuse d'angle,Equipement,,1,Operationnel,2,
FL-037,Mini perceuse,Equipement,CT13428,2,Operationnel,2,
FABLAB.STK.FIN,Stock Finition,Zone / Stock,,,,,
FABLAB.STK.FIN.PEI,Consommables de finition,Sous-categorie,,,,,
FL-057,Bombe de peinture aerosol,Equipement,Noir mat,2,Operationnel,2,
FL-058,Bombe de peinture aerosol,Equipement,Bleu,1,Operationnel,2,
FL-059,Bombe de peinture aerosol,Equipement,Beige,1,Operationnel,2,
FL-060,Bombe de peinture aerosol,Equipement,Gris,2,Operationnel,2,
FABLAB.INF,INFRASTRUCTURE GENERALE (transverse),Type,,,,,
FABLAB.INF.ELEC,Equipement electrique,Zone / Stock,,,,,
FL-001,Armoire electrique,Equipement,,2,Non renseigne,2,
FABLAB.INF.HYG,Hygiene / Consommable,Zone / Stock,,,,,
FL-050,Distributeur de gel desinfectant,Equipement,,1,Operationnel,2,
FABLAB.NC,NON CLASSE / A IDENTIFIER,Type,,,,,
FABLAB.NC.ID,Equipement non identifie,Zone / Stock,,,,,
FL-067,Intertek,Equipement,"Nature de l'equipement non identifiee - a identifier avant classement, cf. 09_Points_Action",2,Non renseigne,2,
,,,,,,,
TOTAL GENERAL DES EQUIPEMENTS DU FABLAB (quantite),,,,337,,,
NOMBRE TOTAL D'ARTICLES REFERENCES (FL-xxx),,,,69,,,
dont equipements nouveaux ajoutes (a confirmer),,,,2,,,
dont equipements hors service,,,,4,,,
dont etat non renseigne (a controler),,,,6,,,
